store_id,product_id,date,category,price,promotion_active,discount_percent,units_sold,inventory_level,day_of_week
12,1823,19-09-2025,Home,1902,No,0,17,251,Friday
6,1551,21-12-2025,Grocery,2629,Yes,0,14,248,Wednesday
40,1015,27-09-2025,Grocery,2488,No,0,25,251,Saturday
50,1475,16-06-2025,Home,293,Yes,5,7,470,Tuesday
32,1004,05-12-2025,Grocery,2470,Yes,20,37,139,Saturday
46,1260,10-06-2025,Electronics,1923,No,0,10,228,Friday
26,1110,28-05-2025,Home,2150,No,0,6,35,Monday
4,1481,11-07-2025,Home,323,Yes,30,19,20,Tuesday
22,1089,08-06-2025,Clothing,1769,Yes,20,26,342,Tuesday
16,1723,21-02-2025,Grocery,112,No,0,13,408,Monday
44,1572,06-04-2025,Home,295,No,0,16,428,Thursday
42,1392,29-02-2025,Home,2134,Yes,30,37,413,Tuesday
2,1215,05-04-2025,Home,1773,Yes,0,34,158,Sunday
17,1009,08-11-2025,Clothing,2515,Yes,0,33,94,Tuesday
14,1596,21-11-2025,Electronics,1263,No,0,10,57,Monday
9,1982,27-10-2025,Home,113,No,0,34,210,Friday
20,1930,26-04-2025,Personal Care,2403,Yes,15,27,113,Saturday
13,1703,17-07-2025,Home,1071,Yes,5,51,398,Saturday
3,1524,10-05-2025,Electronics,2522,Yes,15,9,44,Monday
19,1532,30-03-2025,Grocery,2935,No,0,36,151,Thursday
18,1217,14-04-2025,Grocery,567,Yes,15,22,306,Saturday
4,1047,31-03-2025,Clothing,333,No,0,20,230,Thursday
22,1672,19-12-2025,Personal Care,1560,Yes,0,33,205,Tuesday
23,1717,08-06-2025,Grocery,2443,Yes,20,34,37,Monday
21,1139,07-02-2025,Grocery,137,Yes,15,37,54,Saturday
22,1360,13-02-2025,Home,1905,No,0,13,397,Monday
37,1014,15-11-2025,Home,368,No,0,36,424,Monday
41,1118,11-05-2025,Home,1603,Yes,20,14,56,Monday
29,1473,04-10-2025,Grocery,1402,No,0,44,498,Saturday
2,1235,23-12-2025,Grocery,2174,Yes,10,37,327,Monday
20,1146,13-12-2025,Personal Care,2086,No,0,28,150,Monday
16,1334,26-07-2025,Clothing,879,Yes,10,38,357,Thursday
14,1393,22-04-2025,Personal Care,863,No,0,27,431,Sunday
3,1728,02-02-2025,Clothing,1346,Yes,5,28,88,Thursday
27,1391,16-11-2025,Personal Care,742,Yes,15,21,261,Wednesday
21,1076,17-01-2025,Clothing,2072,No,0,43,386,Sunday
20,1664,15-10-2025,Grocery,2538,Yes,30,33,382,Wednesday
50,1849,16-05-2025,Electronics,2675,Yes,15,9,252,Tuesday
41,1548,01-12-2025,Clothing,627,Yes,30,17,79,Thursday
12,1731,06-01-2025,Home,369,Yes,5,22,441,Thursday
35,1714,23-09-2025,Personal Care,2240,Yes,5,28,135,Wednesday
6,1420,17-07-2025,Electronics,2566,Yes,15,32,454,Sunday
25,1563,18-10-2025,Personal Care,1895,No,0,15,120,Saturday
7,1739,24-11-2025,Grocery,1455,No,0,28,187,Saturday
21,1268,09-01-2025,Clothing,923,Yes,15,42,64,Wednesday
27,1786,20-05-2025,Home,2117,Yes,0,40,245,Wednesday
12,1545,20-06-2025,Electronics,166,Yes,0,17,239,Sunday
44,1705,13-08-2025,Home,1977,Yes,20,52,481,Saturday
19,1851,14-10-2025,Electronics,2421,Yes,5,41,244,Friday
40,1213,04-06-2025,Electronics,2191,No,0,39,179,Saturday
27,1548,28-02-2025,Personal Care,2281,No,0,17,313,Thursday
34,1939,24-07-2025,Personal Care,70,No,0,2,34,Friday
5,1953,02-10-2025,Home,2355,Yes,15,28,67,Saturday
32,1130,22-06-2025,Home,1744,No,0,35,157,Tuesday
40,1030,13-05-2025,Electronics,2001,No,0,31,75,Tuesday
1,1703,25-05-2025,Clothing,2925,Yes,0,19,119,Tuesday
47,1596,03-03-2025,Personal Care,1505,Yes,20,40,275,Monday
28,1023,11-07-2025,Home,2603,No,0,38,387,Tuesday
41,1223,28-09-2025,Electronics,2218,Yes,20,53,124,Sunday
